model,age,odo,fuel,color,price
C클래스,141,156615,가솔린,white,6.825460036255307
5시리즈,93,112455,디젤,gray,7.576097340623111
K3,98,87865,가솔린,white,6.78105762593618
3시리즈,180,355424,가솔린,black,5.942799375126701
아반떼,111,109972,가솔린,white,6.255750041753367
아반떼,58,74026,가솔린,white,7.1929342212158
쏘나타,92,133000,가솔린,black,6.698268054115413
말리부,54,42949,가솔린,white,7.576097340623111
5시리즈,31,47825,디젤,white,8.46611040118692
아반떼,20,17102,가솔린,gray,7.83241092718792
그랜저,44,83934,가솔린,black,7.479299637782834
그랜저,74,130000,LPG,black,7.244941546337007
E클래스,52,17000,가솔린,white,8.674367865788236
E클래스,35,18781,디젤,gray,8.612685172875459
그랜저,70,100000,가솔린,gray,7.24422751560335
K5,74,67356,LPG,white,7.170119543449628
G80,52,107619,가솔린,black,7.886457270977689
SM6,48,38742,가솔린,gray,7.544861068658458
E클래스,104,83814,가솔린,white,7.719129840906732
쏘나타,144,161788,LPG,white,6.478509642208569
그랜저,47,109049,가솔린,black,7.490529402060711
쏘나타,67,109034,LPG,white,7.090076835776092
그랜저,63,64454,hybrid,white,7.544861068658458
G80,65,115952,가솔린,black,7.783224016336037
A6,71,48617,디젤,white,7.955425088912672
K7,52,23460,가솔린,black,7.820037989458753
쏘나타,79,40000,디젤,black,7.266128779556451
C클래스,50,55373,디젤,white,8.0959035329611
쏘나타,93,164136,LPG,white,6.85751406254539
G80,49,114691,가솔린,black,7.912423121473705
쏘나타,169,157253,가솔린,gray,5.942799375126701
K5,102,125963,LPG,black,6.957497370876951
A6,108,190814,디젤,black,7.0909098220799835
아반떼,156,114000,가솔린,gray,5.442417710521793
코란도,102,49460,디젤,white,6.792344427470809
SM6,33,14005,가솔린,gray,7.576097340623111
그랜저,210,192340,LPG,black,5.25227342804663
K5,47,54820,가솔린,white,7.421177528595393
K5,69,81002,디젤,white,7.327123292259293
그랜저,61,15650,가솔린,gray,7.8826922062890254
그랜저,48,50000,가솔린,black,7.762596048540069
그랜저,49,98066,hybrid,gray,7.67368812926773
K5,140,59800,가솔린,gray,6.53813982376767
K5,44,75173,LPG,white,7.409136443920128
K3,78,52182,가솔린,gray,7.00850518208228
K7,37,47280,가솔린,black,7.919719760924575
K7,68,94448,가솔린,black,7.591357046698551
그랜저,43,42251,가솔린,white,7.8826922062890254
크루즈,124,102943,가솔린,black,6.111467339502679
K3,106,74188,가솔린,black,6.7226297948554485
S클래스,68,125731,디젤,black,8.665785595466064
E클래스,74,92906,디젤,white,7.955425088912672
말리부,80,111333,디젤,black,6.803505257608338
K7,71,63696,디젤,gray,7.549609165154532
그랜저,74,37148,가솔린,gray,7.507141079727608
5시리즈,172,90974,가솔린,gray,6.3818160174060985
아반떼,39,16000,가솔린,white,7.616283561580385
티구안,73,23222,디젤,black,7.692113339595466
K7,146,160843,LPG,black,6.898714534329988
골프,129,95230,디젤,gray,6.476972362889683
K7,44,985,가솔린,white,7.919719760924575
말리부,52,69060,가솔린,black,7.523481312573497
5시리즈,37,54942,가솔린,white,8.286773231131251
K7,43,26000,가솔린,black,7.816416983691801
그랜저,52,37225,가솔린,gray,7.937731775260109
SM6,21,9100,가솔린,gray,7.824046010856292
K3,40,82792,가솔린,gray,7.346655163176539
쏘나타,87,175555,가솔린,white,6.734591659972948
7시리즈,32,27792,디젤,gray,9.239996256883693
5시리즈,56,59454,가솔린,black,8.38958706681109
K7,83,80983,LPG,black,7.307202314764738
E클래스,102,147677,가솔린,gray,7.5126175446745105
K7,93,138692,LPG,black,7.048386408721883
G80,56,101987,가솔린,gray,8.029758520440822
K3,58,114873,가솔린,white,6.7464121285733745
K7,90,143000,가솔린,white,7.039660349862076
K5,131,92503,가솔린,black,6.621405651764134
말리부,61,108400,가솔린,gray,7.2078598714324755
쏘나타,87,168106,가솔린,white,6.660575149839686
그랜저,58,86754,LPG,black,7.544861068658458
쏘나타,34,25518,가솔린,gray,7.80016307039296
SM6,20,3965,가솔린,gray,7.855544677915663
G70,29,12170,가솔린,gray,8.166500319155052
아반떼,102,35946,가솔린,gray,6.673297967767654
S클래스,117,160738,가솔린,black,7.719129840906732
K7,35,64357,가솔린,gray,7.8083230503910555
A6,176,101161,가솔린,gray,6.154858094016418
티볼리,81,90781,가솔린,gray,7.057036981697891
5시리즈,44,52168,가솔린,gray,8.266421472984554
쏘나타,174,137021,가솔린,white,5.802118375377063
5시리즈,226,137413,가솔린,gray,5.860786223465865
K7,53,71766,디젤,black,7.7752758464868625
쏘나타,129,87125,가솔린,black,6.431331081933479
5시리즈,119,83767,디젤,white,7.544861068658458
쏘나타,76,84306,가솔린,gray,7.327123292259293
코란도,87,97380,디젤,white,6.999422467507961
말리부,86,160000,가솔린,white,6.46302945692067
아반떼,47,74018,가솔린,white,7.057036981697891
5시리즈,50,25264,가솔린,gray,8.366602832783736
A7,100,111754,가솔린,black,7.8826922062890254
S클래스,8,7700,디젤,black,9.581972891547895
말리부,116,108018,가솔린,gray,6.478509642208569
K3,100,112000,가솔린,gray,6.53813982376767
5시리즈,59,81000,디젤,white,8.25608813381491
티볼리,22,10580,가솔린,white,7.507141079727608
아반떼,65,53868,가솔린,white,7.237778191923443
SM6,48,40624,가솔린,gray,7.372118028337787
그랜저,115,108300,가솔린,white,7.1631723908466425
쏘나타,149,150000,가솔린,gray,6.175867270105761
아반떼,78,128230,가솔린,black,6.898714534329988
그랜저,99,200418,가솔린,black,6.447305862541213
K7,132,130000,가솔린,gray,6.752270376141742
K7,68,51830,가솔린,black,7.719129840906732
그랜저,46,147945,hybrid,gray,7.43307534889858
쏘나타,47,54461,가솔린,black,7.490529402060711
쏘나타,50,110449,LPG,gray,7.272398392570047
그랜저,49,61120,가솔린,black,7.736743682453495
티볼리,71,69121,가솔린,white,7.1316985104669115
쏘나타,33,22461,가솔린,black,7.714677473800927
쏘나타,133,126165,가솔린,white,6.508769136971682
G80,39,80069,가솔린,black,8.14060704285845
그랜저,42,41376,가솔린,white,7.600902459542082
K7,63,171660,가솔린,black,7.273092595999522
말리부,65,70613,가솔린,black,7.1316985104669115
아반떼,56,70000,가솔린,white,7.107425474110705
그랜저,120,208145,LPG,black,6.594413459749778
K7,127,171520,가솔린,gray,6.508769136971682
K7,92,101625,LPG,black,7.22983877815125
S클래스,60,72664,디젤,gray,8.881836305004146
K5,125,139997,가솔린,white,6.508769136971682
티볼리,54,47509,가솔린,white,7.3658128372094716
아반떼,58,63062,가솔린,white,6.976348070447749
티볼리,69,36516,디젤,white,7.280008252884188
E클래스,32,14230,가솔린,white,8.562357743370612
C클래스,21,22000,가솔린,gray,8.268988209506656
그랜저,82,170000,디젤,black,6.957497370876951
S클래스,167,245700,가솔린,gray,6.898714534329988
아반떼,232,200000,가솔린,white,6.111467339502679
그랜저,50,138211,가솔린,black,7.43307534889858
E클래스,195,100065,가솔린,gray,6.255750041753367
그랜저,126,131668,가솔린,black,6.802394763324311
C클래스,92,132511,디젤,white,7.804251383528112
S클래스,93,141920,디젤,black,8.517193191416238
A8,80,134064,디젤,black,8.157943507105037
S클래스,178,215154,가솔린,gray,6.68586094706836
K7,71,145825,디젤,black,7.456454555176209
골프,85,89638,디젤,gray,7.186144304522325
K3,47,89860,가솔린,gray,7.2305631534092925
그랜저,149,228634,가솔린,black,5.673323267171493
G80,48,116920,가솔린,black,7.893945138235959
아반떼,67,60967,가솔린,gray,6.985641817639208
E클래스,50,49642,가솔린,white,8.45553053102413
아반떼,113,150361,가솔린,white,6.53813982376767
E클래스,55,153805,디젤,black,8.14060704285845
G80,42,98442,가솔린,gray,7.897668150726906
A6,79,94894,디젤,gray,7.7057128238944275
E클래스,132,127103,가솔린,black,7.074116816197362
